Trajectory ID,SMILES,Molality,Monomer Molecular Weight,Degree of Polymerization,Density,CONDUCTIVITY,TFSI Diffusivity,Li Diffusivity,Poly Diffusivity,Transference Number
9425,COCC(CNCC(CF)OC(=O)*)O*,1.40E+00,4.68E+02,1.90E+01,1.35E+00,7.57E-05,3.23E-08,1.26E-08,1.53E-08,-1.63E-01
9426,O=C(CCNC(=O)COC(=O)*)NCCN*,1.47E+00,4.76E+02,1.30E+01,1.46E+00,6.95E-05,1.32E-08,1.11E-08,8.64E-09,3.18E-01
9427,NC(=O)C(COC(=O)*)NC(=O)CCO*,1.44E+00,4.63E+02,1.70E+01,1.53E+00,1.04E-04,1.40E-08,1.95E-08,9.18E-09,5.30E-01
9428,CC(COC(=O)*)COC(=O)C(C)(C)CO*,1.43E+00,4.77E+02,1.60E+01,1.28E+00,2.65E-05,2.42E-08,1.19E-08,1.40E-08,-3.19E-01
9429,COC(=O)CC(=O)NC(CO*)COC(=O)*,1.47E+00,4.78E+02,2.60E+01,1.49E+00,3.85E-05,1.35E-08,6.58E-09,8.67E-09,8.06E-02
9430,COC(=O)CC(=O)NCC(CO*)OC(=O)*,1.48E+00,4.78E+02,3.10E+01,1.49E+00,4.11E-05,9.13E-09,9.84E-09,7.41E-09,4.34E-01
9431,CC(O*)C(=O)NC(C)C(C)(C)OC(=O)*,1.44E+00,4.62E+02,1.90E+01,1.31E+00,2.77E-05,1.25E-08,7.78E-09,6.08E-09,8.60E-02
9432,CC(CCN(C)C(=O)CCN*)OC(=O)*,1.41E+00,4.61E+02,1.60E+01,1.30E+00,3.18E-05,1.42E-08,8.01E-09,8.04E-09,1.52E-01
9433,CC(CNC(COC(=O)*)C(N)=O)O*,1.39E+00,4.49E+02,1.90E+01,1.41E+00,8.46E-05,1.87E-08,1.15E-08,9.19E-09,1.55E-01
9434,CC(C)NC(=O)NCC(COC(=O)*)O*,1.32E+00,4.63E+02,3.10E+01,1.37E+00,7.25E-05,2.82E-08,1.53E-08,7.87E-09,1.37E-01
9435,CC(CO*)(COC(=O)*)NC(=O)CC#N,1.38E+00,4.59E+02,2.60E+01,1.43E+00,5.64E-05,1.40E-08,1.47E-08,9.63E-09,4.19E-01
9436,CSCC(CNCC(C)O*)OC(=O)*,1.41E+00,4.66E+02,1.90E+01,1.31E+00,6.82E-05,3.39E-08,1.80E-08,2.67E-08,-3.44E-02
9437,C#CCC(N*)C(=O)NCCNC(=O)*,1.44E+00,4.42E+02,1.90E+01,1.42E+00,7.16E-05,1.40E-08,1.06E-08,5.56E-09,2.25E-01
9438,CCCN(CC(C)OC(=O)*)C(C)CO*,1.44E+00,4.62E+02,1.90E+01,1.20E+00,3.39E-05,3.51E-08,2.27E-08,2.20E-08,1.69E-01
9439,COCCC(COC(=O)*)NC(=O)CCO*,1.49E+00,4.78E+02,1.70E+01,1.38E+00,6.46E-05,2.00E-08,9.08E-09,1.30E-08,9.05E-02
9440,CC(CN(C)CC(C)(O*)C(F)F)OC(=O)*,1.46E+00,4.84E+02,1.90E+01,1.36E+00,8.85E-05,4.07E-08,1.52E-08,1.60E-08,-9.70E-02
9441,CCN(CCCCO*)CCNC(=O)*,1.38E+00,4.47E+02,1.60E+01,1.20E+00,1.19E-04,4.30E-08,2.76E-08,3.26E-08,2.95E-01
9442,CCOCCNC(=O)C(CO*)NC(=O)*,1.32E+00,4.63E+02,3.10E+01,1.36E+00,6.73E-05,2.06E-08,1.31E-08,1.09E-08,2.28E-01
9443,CCCN(CCO*)CCC(C)(C)OC(=O)*,1.36E+00,4.76E+02,1.70E+01,1.18E+00,5.65E-05,4.44E-08,2.33E-08,2.52E-08,1.99E-01
9444,CCCC(CC)NCC(COC(=O)*)O*,1.33E+00,4.62E+02,3.10E+01,1.17E+00,1.53E-05,3.45E-08,2.57E-08,1.87E-08,1.34E-02
9445,COCNC(=S)NC(CO*)COC(=O)*,1.45E+00,4.81E+02,2.60E+01,1.47E+00,7.37E-05,2.30E-08,1.87E-08,1.42E-08,-1.01E-01
9446,CCC(C(=O)N(C)CCOC(=O)*)C(C)O*,1.36E+00,4.76E+02,1.70E+01,1.27E+00,3.14E-05,1.78E-08,1.30E-08,1.10E-08,1.92E-01
9447,CCCC(CC)N(CCN*)CCNC(=O)*,1.36E+00,4.74E+02,1.90E+01,1.17E+00,8.89E-05,3.35E-08,1.95E-08,1.82E-08,4.03E-02
9448,COC(=O)NC(CO*)COC(=O)*,1.36E+00,4.36E+02,2.60E+01,1.47E+00,3.72E-05,1.57E-08,7.27E-09,6.36E-09,-3.08E-02
9449,C=C(CO*)C(=O)NC(C)(C)CCOC(=O)*,1.45E+00,4.74E+02,1.60E+01,1.33E+00,5.74E-05,1.47E-08,1.39E-08,1.40E-08,4.20E-01
9450,CCCCCC(=O)NC(CO*)COC(=O)*,1.48E+00,4.76E+02,2.60E+01,1.30E+00,4.34E-05,2.19E-08,1.82E-08,1.27E-08,3.02E-01
9451,CC(C)C(O*)C(=O)N(C)CCOC(=O)*,1.44E+00,4.62E+02,1.90E+01,1.31E+00,5.73E-05,2.18E-08,1.13E-08,1.21E-08,-1.79E-01
9452,CN(CCO*)C(=O)CCOC(=O)*,1.40E+00,4.34E+02,1.70E+01,1.39E+00,1.29E-04,4.32E-08,2.62E-08,1.70E-08,7.37E-02
9453,COC(=O)C(C)N(C)CC(CO*)OC(=O)*,1.48E+00,4.78E+02,3.10E+01,1.33E+00,6.21E-05,3.11E-08,1.77E-08,2.52E-08,-9.17E-02
9454,CNC(=S)NC(COC(=O)*)C(C)O*,1.34E+00,4.65E+02,2.60E+01,1.39E+00,2.23E-05,1.62E-08,1.94E-08,1.26E-08,3.19E-01
9455,CC(CNC(=O)CCCCCN*)NC(=O)*,1.49E+00,4.74E+02,1.30E+01,1.29E+00,6.54E-05,2.13E-08,1.48E-08,1.02E-08,1.20E-01
9456,CC(CN*)C(=O)NC(C)(C)COC(=O)*,1.46E+00,4.61E+02,1.70E+01,1.30E+00,6.64E-05,1.97E-08,1.62E-08,9.87E-09,3.46E-01
9457,CC(COC(=O)*)CS(=O)(=O)CCCO*,1.39E+00,4.83E+02,1.60E+01,1.43E+00,6.93E-05,2.47E-08,1.54E-08,2.01E-08,2.39E-01
9458,COCC(NC(=O)*)C(=O)NCCC(C)N*,1.36E+00,4.76E+02,1.70E+01,1.35E+00,3.98E-05,1.31E-08,7.40E-09,6.58E-09,8.03E-02
9459,CCCCC(NC(=O)*)C(=O)NCCCO*,1.36E+00,4.75E+02,1.70E+01,1.27E+00,4.28E-05,1.70E-08,7.01E-09,9.30E-09,1.41E-01
9460,CC(C)C(O*)C(=O)NC(C#N)COC(=O)*,1.37E+00,4.73E+02,1.90E+01,1.37E+00,2.70E-05,1.19E-08,8.40E-09,6.12E-09,1.68E-01
9461,CC(CNC(=O)*)N(C)C(=O)COCCN*,1.49E+00,4.76E+02,1.40E+01,1.34E+00,1.16E-04,2.75E-08,3.09E-08,1.81E-08,3.77E-01
9462,CNC(=O)C(CNCC(C)OC(=O)*)O*,1.43E+00,4.63E+02,1.90E+01,1.36E+00,4.89E-05,1.29E-08,8.13E-09,7.94E-09,1.82E-01
9463,CC(CCOC(=O)*)S(=O)(=O)CCO*,1.40E+00,4.69E+02,1.70E+01,1.47E+00,9.73E-05,3.47E-08,2.03E-08,2.23E-08,1.43E-01
9464,C=C(Cl)CN(C)CC(CNC(=O)*)O*,1.31E+00,4.65E+02,3.10E+01,1.36E+00,6.15E-05,3.06E-08,1.89E-08,1.66E-08,1.25E-01
9465,CCC(C)(CO*)NC(=O)COC(=O)*,1.39E+00,4.48E+02,1.90E+01,1.35E+00,4.19E-05,1.92E-08,8.78E-09,1.13E-08,-7.34E-03
9466,CC(C#N)C(=O)N(C)CC(COC(=O)*)O*,1.26E+00,4.73E+02,3.10E+01,1.37E+00,5.25E-05,2.35E-08,1.32E-08,1.06E-08,6.14E-03
9467,CCC(CNC(=O)COCCN*)NC(=O)*,1.49E+00,4.76E+02,1.40E+01,1.35E+00,7.62E-05,1.87E-08,1.60E-08,1.57E-08,2.84E-01
9468,C=CC(CCNC(=O)*)O*,1.50E+00,3.88E+02,2.60E+01,1.30E+00,4.14E-05,1.95E-08,1.02E-08,1.26E-08,-2.43E-01
9469,CC(CC(=O)NCCCO*)NC(=O)*,1.38E+00,4.47E+02,1.60E+01,1.33E+00,4.82E-05,1.60E-08,7.16E-09,8.94E-09,7.86E-02
9470,CC#CC(=O)NCC(COC(=O)*)O*,1.46E+00,4.44E+02,3.10E+01,1.42E+00,4.90E-05,2.00E-08,1.33E-08,8.04E-09,4.07E-01
9471,CC(CO*)(COC(=O)*)C(=O)OCC(F)F,1.42E+00,4.85E+02,2.60E+01,1.49E+00,3.67E-05,3.20E-08,2.45E-08,1.86E-08,-3.83E-01
9472,CCCC(CC)NCC(CN*)OC(=O)*,1.34E+00,4.61E+02,3.10E+01,1.16E+00,3.70E-05,2.80E-08,1.40E-08,1.36E-08,-1.22E-01
9473,CC(N*)C(=O)N(C)CCCNC(=O)*,1.43E+00,4.46E+02,1.70E+01,1.33E+00,3.51E-05,1.14E-08,9.48E-09,8.44E-09,1.35E-01
9474,CC(C)(CO*)NC(=O)COC(=O)*,1.37E+00,4.34E+02,1.90E+01,1.39E+00,6.66E-05,1.84E-08,1.14E-08,1.15E-08,3.59E-01
9475,CC(CCCNC(=O)C(C)OC(=O)*)O*,1.40E+00,4.62E+02,1.60E+01,1.31E+00,5.25E-05,1.55E-08,8.80E-09,1.44E-08,-3.07E-02
9476,CC(COC(=O)CCCC(C)OC(=O)*)O*,1.49E+00,4.77E+02,1.40E+01,1.29E+00,3.51E-05,3.03E-08,1.78E-08,3.80E-08,-5.69E-02
9477,CCCCC(CN*)NC(=O)CNC(=O)*,1.46E+00,4.60E+02,1.90E+01,1.30E+00,4.51E-05,1.39E-08,8.15E-09,7.05E-09,1.68E-01
9478,CCC(C)C(=O)N(C)CC(COC(=O)*)O*,1.49E+00,4.76E+02,3.10E+01,1.29E+00,4.18E-05,2.95E-08,1.60E-08,1.67E-08,-1.82E-01
9479,CC#CCOC(=O)C(C)(CO*)COC(=O)*,1.29E+00,4.73E+02,2.60E+01,1.32E+00,1.66E-05,1.87E-08,1.70E-08,1.13E-08,-2.37E-02
9480,CSCCN(C)CC(CO*)OC(=O)*,1.30E+00,4.66E+02,3.10E+01,1.31E+00,1.27E-04,6.16E-08,3.80E-08,4.08E-08,-3.32E-01
9481,CCC(NC(=O)C(C)(C)OC(=O)*)C(C)O*,1.35E+00,4.76E+02,1.90E+01,1.27E+00,7.20E-05,1.99E-08,1.57E-08,1.29E-08,1.39E-01
9482,CCCCCNC(CO*)COC(=O)*,1.46E+00,4.48E+02,2.60E+01,1.22E+00,3.13E-05,3.23E-08,2.02E-08,2.33E-08,1.56E-01
9483,CCNC(C)C(=O)NCC(CN*)OC(=O)*,1.49E+00,4.76E+02,3.10E+01,1.33E+00,4.96E-05,1.92E-08,1.11E-08,8.37E-09,1.73E-01
9484,CC(CCOC(=O)*)NC(=O)CCN*,1.38E+00,4.47E+02,1.60E+01,1.33E+00,6.40E-05,1.70E-08,1.22E-08,9.71E-09,3.39E-01
9486,CCNC(C)CNC(=O)C(CO*)NC(=O)*,1.49E+00,4.76E+02,3.10E+01,1.33E+00,4.55E-05,1.57E-08,1.05E-08,6.67E-09,2.01E-01
9487,CC(COC(=O)C(C)(C)OC(=O)*)O*,1.39E+00,4.49E+02,1.90E+01,1.32E+00,6.34E-05,3.11E-08,2.19E-08,1.80E-08,1.65E-01
9488,CC(CCNC(=O)C(OC(=O)*)C(C)C)O*,1.36E+00,4.76E+02,1.70E+01,1.27E+00,4.69E-05,1.76E-08,8.75E-09,1.20E-08,1.67E-02
9489,COCC(C)(CO*)NCCC(C)OC(=O)*,1.49E+00,4.78E+02,1.70E+01,1.23E+00,5.93E-05,3.82E-08,2.02E-08,2.60E-08,-2.66E-01
9490,COCC(CNC(C)C(C)OC(=O)*)O*,1.43E+00,4.64E+02,1.90E+01,1.24E+00,9.20E-05,5.74E-08,3.26E-08,3.50E-08,-1.00E-01
9491,O=C(O)CCCN(CCNC(=O)*)CCO*,1.34E+00,4.77E+02,1.90E+01,1.36E+00,6.03E-05,2.40E-08,1.07E-08,1.85E-08,-1.58E-01
