Trajectory ID,SMILES,Molality,Monomer Molecular Weight,Degree of Polymerization,Density,CONDUCTIVITY,TFSI Diffusivity,Li Diffusivity,Poly Diffusivity,Transference Number,Label,,,,,,
14764,*OCC*,1.46,305,51,1.21,0.00157,0.000000366,0.000000263,0.000000353,0.389,2,,1,,684,,0.000002
14768,*OCOCCOCC*,1.47,379,19,1.25,0.00132,0.000000212,0.000000212,0.00000026,0.459,2,,1,,340,,
14748,*CCOCCOCCOCCOCCOCC*,1.47,509,9,1.18,0.00111,0.000000293,0.000000211,0.0000003,0.36,2,,1,,5246,,
14769,*CCOCCOCCOCCOCC*,1.46,465,11,1.17,0.0011,0.000000333,0.000000193,0.000000282,0.322,2,,1,,,,
27624,*OCC*,1.46,305,51,1.21,0.00108,0.000000306,0.000000128,0.000000131,0.252,2,,1,,,,
27670,*OCOCCOCC*,1.47,379,19,1.25,0.00103,0.00000023,0.0000001,0.000000102,0.25,2,,1,,,,
14754,*CCCCOCCOCCOCCOCCOCC*,1.49,537,8,1.16,0.000959,0.000000337,0.000000262,0.000000362,0.329,2,,1,,,,
27628,*CCOCCOCCOCCOCC*,1.46,465,11,1.17,0.000807,0.000000256,0.00000013,0.000000124,0.288,2,,1,,,,
27710,*CCOCCOCCOCCOCCOCC*,1.47,509,9,1.18,0.000776,0.000000239,0.000000115,0.000000111,0.251,2,,1,,,,
14760,*OC(=O)OCCOCCOCCOCCOCCOCC*,1.43,569,8,1.28,0.000773,0.000000193,0.0000000874,0.000000121,0.28,0,,1,,,,
14772,*CCCCCCOCCOCCOCCOCCOCC*,1.45,565,8,1.13,0.000644,0.000000256,0.000000153,0.000000275,0.258,0,,1,,,,
27709,*CCCCOCCOCCOCCOCCOCC*,1.49,537,8,1.16,0.000633,0.000000235,0.00000016,0.000000153,0.285,2,,1,,,,
14751,*CCCCOCCOCCOCCOCC*,1.42,493,10,1.13,0.000621,0.000000322,0.000000284,0.000000333,0.349,2,,1,,,,
27661,*CCCCCCOCCOCCOCCOCCOCC*,1.45,565,8,1.13,0.000543,0.000000249,0.0000000951,0.000000109,0.126,0,,2,,,,
24079,O=C(*)OCCOCCNCCOCCO*,1.46,480,11,1.29,0.000507,0.000000116,0.0000000627,0.0000000948,0.332,0,,1,,,,
14767,*CC(C)O*,1.39,319,51,1.11,0.000502,0.00000024,0.000000147,0.000000213,0.204,0,,1,,,,
24118,O=C(*)OCCOCCOCCOCCO*,1.46,481,11,1.31,0.000487,0.0000000946,0.000000064,0.0000000833,0.361,0,,1,,,,
14745,*CCCCCCOCCOCCOCCOCC*,1.4,521,9,1.11,0.000484,0.000000222,0.000000225,0.000000327,0.404,2,,1,,,,
14765,*NCC*,1.5,304,51,1.15,0.00043,0.0000000866,0.000000061,0.0000000744,0.4,0,,1,,,,
27652,*CCCCOCCOCCOCCOCC*,1.42,493,10,1.13,0.00037,0.000000245,0.000000116,0.000000104,0.127,2,,2,,,,
13996,CN(CCO*)CCN(C)CCOC(=O)*,1.46,463,14,1.23,0.000368,0.0000000807,0.000000042,0.000000068,0.319,0,,1,,,,
27723,*CCCCCCOCCOCCOCCOCC*,1.4,521,9,1.11,0.000352,0.000000234,0.0000000914,0.0000000985,0.0393,2,,1,,,,
14739,*OC(=O)OCCOCCOCCOCC*,1.46,481,11,1.31,0.000322,0.0000000892,0.0000000355,0.0000000683,0.247,0,,1,,,,
24067,O=C(*)NCCOCCOCCOCCO*,1.46,480,11,1.3,0.00032,0.000000075,0.0000000427,0.0000000662,0.313,2,,1,,,,
14231,CN(CCCCOC(=O)*)CCOCCO*,1.46,478,12,1.23,0.000303,0.0000000772,0.0000000462,0.0000000842,0.35,2,,1,,,,
24077,O=C(*)OCCOCCOCCO*,1.43,437,14,1.33,0.000299,0.000000078,0.0000000439,0.0000000625,0.314,0,,1,,,,
27634,*CC(C)O*,1.39,319,51,1.11,0.000295,0.000000151,0.0000000761,0.0000000848,0.139,0,,1,,,,
24093,O=C(*)OCCN(CCF)CCOCCO*,1.45,482,14,1.34,0.000292,0.0000000937,0.0000000476,0.0000000605,0.194,2,,1,,,,
24101,O=C(*)OCCCOCCCO*,1.48,421,16,1.3,0.000285,0.000000083,0.0000000494,0.0000000771,0.253,0,,1,,,,
24084,O=C(*)NCCOCCOCCOCCN*,1.47,479,11,1.31,0.000282,0.0000000457,0.0000000334,0.0000000428,0.391,0,,2,,,,
24074,O=C(*)OCCSCCOCCO*,1.41,453,14,1.38,0.000282,0.0000000877,0.0000000429,0.0000000702,0.254,0,,1,,,,
24051,O=C(*)OCCOCCOCCN*,1.44,436,14,1.31,0.000278,0.0000000595,0.0000000375,0.0000000547,0.369,0,,1,,,,
24088,O=C(*)OCCOCCCOCCO*,1.43,451,13,1.3,0.000273,0.0000000764,0.000000039,0.0000000681,0.23,0,,1,,,,
14317,CCN(CCOCCO*)CC(C)OC(=O)*,1.48,478,14,1.23,0.000271,0.0000000875,0.000000048,0.0000000682,0.27,0,,1,,,,
13979,CN(CCNC(=O)*)CCOCCO*,1.44,449,14,1.27,0.000268,0.0000000582,0.0000000399,0.0000000498,0.35,2,,1,,,,
14591,CN(CCCO*)CCOCCOC(=O)*,1.44,464,13,1.26,0.000264,0.0000000629,0.0000000392,0.0000000684,0.362,2,,1,,,,
24059,O=C(*)OCCOCCO*,1.41,393,19,1.38,0.000262,0.0000000648,0.0000000305,0.000000045,0.266,2,,1,,,,
27679,*OC(=O)OCCOCCOCCOCCOCCOCC*,1.43,569,8,1.28,0.000261,0.0000000705,0.0000000241,0.0000000343,0.219,2,,2,,,,
14360,CC(CCOC(=O)*)NCCOCCO*,1.44,464,13,1.25,0.00026,0.0000000847,0.0000000548,0.0000000675,0.269,2,,1,,,,
24036,O=C(*)OCCCSCCOCCO*,1.42,467,13,1.34,0.000256,0.000000104,0.0000000394,0.0000000665,0.101,2,,1,,,,
24098,O=C(*)NCCOCCOCCN*,1.45,435,14,1.34,0.000254,0.0000000406,0.0000000362,0.0000000377,0.434,2,,2,,,,
14607,CCC(CN(C)CCOCCN*)OC(=O)*,1.49,477,14,1.22,0.000254,0.0000000682,0.0000000444,0.0000000506,0.333,0,,1,,,,
14761,*OC(=O)OCCOCCOCC*,1.43,437,14,1.33,0.000253,0.0000000654,0.000000041,0.000000053,0.26,0,,1,,,,
24073,O=C(*)OCCOCCCCOCCO*,1.44,465,12,1.27,0.000249,0.000000086,0.0000000469,0.0000000738,0.244,0,,1,,,,
14746,*OS(=O)OCCCC*,1.38,397,22,1.42,0.000246,0.0000000642,0.0000000699,0.0000000684,0.518,2,,1,,,,
14534,CCC(COC(=O)*)N(C)CCOCCO*,1.48,478,14,1.24,0.000244,0.000000076,0.0000000387,0.0000000509,0.249,0,,1,,,,
24119,O=C(*)OCCOCCCN*,1.43,406,17,1.31,0.000243,0.0000000624,0.0000000426,0.0000000487,0.345,2,,1,,,,
13902,NC(CCOC(=O)*)=NOCCOCCO*,1.45,479,12,1.38,0.000242,0.0000000698,0.0000000379,0.0000000427,0.216,0,,1,,,,
14289,C=CC(CNCCCOCCOC(=O)*)O*,1.47,476,13,1.25,0.00024,0.0000000923,0.0000000444,0.0000000562,0.0511,0,,1,,,,
14501,CCN(CCCO*)CCOCCNC(=O)*,1.47,477,13,1.23,0.000238,0.0000000584,0.0000000365,0.0000000365,0.327,0,,1,,,,
14129,CC(CCO*)SCCOCCOC(=O)*,1.44,481,13,1.31,0.000231,0.000000115,0.0000000417,0.0000000653,-0.123,0,,1,,,,
14770,*OC(=O)OCCOCC*,1.41,393,19,1.38,0.000228,0.0000000429,0.0000000312,0.0000000461,0.41,0,,1,,,,
14185,COCCN(CCO*)CCOC(=O)*,1.38,450,19,1.29,0.000228,0.0000000754,0.0000000363,0.0000000525,0.185,0,,1,,,,
14237,CC(CSCCOCCO*)OC(=O)*,1.43,467,14,1.33,0.000228,0.0000000932,0.0000000412,0.0000000566,0.122,0,,1,,,,
24115,O=C(*)OCCCNCCCO*,1.49,420,16,1.28,0.000227,0.000000069,0.0000000467,0.0000000473,0.352,0,,1,,,,
14056,CN(CCO*)CCOCCNC(=O)*,1.44,449,14,1.27,0.000225,0.000000045,0.0000000296,0.0000000462,0.36,0,,1,,,,
24038,O=C(*)OCCCCOCCCCO*,1.44,449,13,1.23,0.000225,0.000000122,0.0000000553,0.0000000799,0.018,0,,2,,,,
24042,O=C(*)OCCCCCCCO*,1.39,419,16,1.21,0.000224,0.000000127,0.0000000519,0.0000000804,0.0107,0,,1,,,,
14325,C=CCN(CCO*)CCOCCOC(=O)*,1.49,476,14,1.27,0.000223,0.0000000662,0.0000000271,0.0000000511,0.238,0,,1,,,,
14117,COCC#CCN(CCO*)CCOC(=O)*,1.36,474,19,1.3,0.000221,0.0000000751,0.000000039,0.0000000475,0.156,2,,1,,,,
14086,COCCOCCNCC(COC(=O)*)O*,1.46,480,31,1.31,0.000219,0.0000000791,0.0000000373,0.0000000483,0.141,2,,1,,,,
14321,CC(CCN(C)CCOCCOC(=O)*)O*,1.46,478,13,1.24,0.000218,0.0000000633,0.0000000305,0.0000000474,0.278,2,,1,,,,
